Judul;Pendapatan;Prediksi;Tahun
Austin Powers in Goldmember;296.938.801;213.307.889;2002
Miss Peregrine's Home for Peculiar Children;296.482.446;87.242.834;2016
X-Men;296.339.528;157.299.718;2000
Ferdinand;296.069.199;84.410.380;2017
Ghostbusters;295.743.767;242.582.079;1984
Shutter Island;294.804.195;128.012.934;2010
Doctor Dolittle;294.456.605;144.156.605;1998
Bee Movie;293.514.336;126.631.277;2007
Salt;293.503.354;118.311.368;2010
G-Force;292.817.841;119.436.770;2009
The Departed;291.465.034;132.384.315;2006
What Lies Beneath;291.420.351;155.464.351;2000
Pacific Rim: Uprising;290.930.148;59.874.525;2018
The Bourne Supremacy;290.835.269;176.241.941;2004
Sex and the City 2;290.745.055;95.347.692;2010
Shakespeare in Love;289.317.794;100.317.794;1998
Divergent;288.885.818;150.947.895;2014
Coming to America;288.752.301;128.152.301;1988
Wedding Crashers;288.467.645;209.255.921;2005
Bridesmaids;288.383.523;169.106.725;2011
Maze Runner: The Death Cure;288.175.335;58.032.443;2018
Casper;287.928.194;100.328.194;1995
American Pie 2;287.553.595;145.103.595;2001
Pitch Perfect 2;287.144.079;184.296.230;2015
The Green Mile;286.801.374;136.801.374;1999
Oblivion;286.168.572;89.107.235;2013
Elysium;286.140.700;93.050.117;2013
Lethal Weapon 4;285.444.603;130.444.603;1998
John Carter;284.139.100;73.078.100;2012
Paddington;282.839.394;76.271.832;2014
Turbo;282.570.682;83.028.128;2013
Bridget Jones's Diary;281.929.795;71.543.427;2001
The Tourist;278.780.441;67.631.157;2010
Split;278.454.358;138.291.365;2017
Scary Movie;278.019.771;157.019.771;2000
xXx;277.448.382;142.109.382;2002
The Bourne Legacy;276.144.750;113.203.870;2012
Mr. Peabody & Sherman;275.698.039;111.506.430;2014
Scooby-Doo;275.650.703;153.294.164;2002
Lincoln;275.293.450;182.207.973;2012
Lara Croft: Tomb Raider;274.703.340;131.168.070;2001
Tomb Raider;274.650.803;58.250.803;2018
The Expendables;274.470.394;103.068.524;2010
Cloudy with a Chance of Meatballs 2;274.325.949;119.793.567;2013
The Little Mermaid;274.176.364;111.543.479;1989
The Nutty Professor;273.961.019;128.814.019;1996
Jerry Maguire;273.552.592;153.952.592;1996
Bad Boys II;273.339.556;138.608.444;2003
Lilo & Stitch;273.144.151;145.794.338;2002
The Silence of the Lambs;272.753.884;130.742.922;1991
Grown Ups;271.430.189;162.001.186;2010
